user.id,datetime,incoming,dest.user.id,dest.phone.hash,id_tuple,relationship,isSMS,isCall,isCloseFriend,time,inOffice
61,2008-01-01 15:00:25,0,1.0,3502965008,"(61.0, 1.0)",CloseFriend,1,0,True,15:00:25,True
61,2008-01-01 15:00:25,1,1.0,3502965008,"(61.0, 1.0)",CloseFriend,1,0,True,15:00:25,True
61,2008-01-06 12:01:36,0,1.0,3502965008,"(61.0, 1.0)",CloseFriend,1,0,True,12:01:36,True
61,2008-03-31 19:49:18,1,1.0,3502965008,"(61.0, 1.0)",CloseFriend,1,0,True,19:49:18,False
1,2008-04-26 18:35:34,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend,1,0,True,18:35:34,False
1,2008-04-26 19:35:34,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend,1,0,True,19:35:34,False
1,2008-04-26 20:35:34,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend,1,0,True,20:35:34,False
1,2008-06-20 09:30:44,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend,1,0,True,09:30:44,False
1,2008-06-20 10:30:44,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend,1,0,True,10:30:44,True
1,2008-06-20 11:30:44,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend,1,0,True,11:30:44,True
1,2008-07-08 03:52:20,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend,1,0,True,03:52:20,False
1,2008-07-08 04:52:20,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend,1,0,True,04:52:20,False
1,2008-07-08 05:52:20,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend,1,0,True,05:52:20,False
58,2008-07-11 19:08:23,1,24.0,1873398567,"(58.0, 24.0)",CloseFriend,1,0,True,19:08:23,False
58,2008-07-11 19:08:27,1,24.0,1873398567,"(58.0, 24.0)",CloseFriend,1,0,True,19:08:27,False
58,2008-07-11 23:43:26,1,24.0,1873398567,"(58.0, 24.0)",CloseFriend,1,0,True,23:43:26,False
58,2008-07-16 09:46:56,1,24.0,1873398567,"(58.0, 24.0)",CloseFriend,1,0,True,09:46:56,False
58,2008-07-16 22:25:33,1,24.0,1873398567,"(58.0, 24.0)",CloseFriend,1,0,True,22:25:33,False
58,2008-07-19 16:00:10,1,24.0,1873398567,"(58.0, 24.0)",CloseFriend,1,0,True,16:00:10,True
58,2008-07-25 22:06:15,1,24.0,1873398567,"(58.0, 24.0)",CloseFriend,1,0,True,22:06:15,False
1,2008-07-27 06:53:44,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend,1,0,True,06:53:44,False
