user.id,time,duration,dest.user.id,dest.phone.hash,id_tuple,relationship
19.0,2008-10-03 03:47:31,47,18.0,3620995333,"(19.0, 18.0)",CloseFriend
19.0,2008-10-03 06:46:20,0,22.0,3839293194,"(19.0, 22.0)",CloseFriend
19.0,2008-10-03 13:51:41,0,22.0,3839293194,"(19.0, 22.0)",CloseFriend
19.0,2008-10-13 01:51:31,0,65.0,1569256956,"(19.0, 65.0)",CloseFriend
19.0,2008-10-14 03:54:56,17,65.0,1569256956,"(19.0, 65.0)",CloseFriend
19.0,2008-11-03 17:57:33,35,18.0,3620995333,"(19.0, 18.0)",CloseFriend
19.0,2008-11-03 03:03:48,0,18.0,3620995333,"(19.0, 18.0)",CloseFriend
19.0,2008-11-07 01:13:28,39,65.0,1569256956,"(19.0, 65.0)",CloseFriend
19.0,2008-11-08 23:35:12,40,18.0,3620995333,"(19.0, 18.0)",CloseFriend
19.0,2008-11-09 00:33:15,64,44.0,2314686049,"(19.0, 44.0)",SocializeTwicePerWeek
19.0,2008-11-14 20:09:01,90,22.0,3839293194,"(19.0, 22.0)",CloseFriend
19.0,2008-11-22 18:28:36,42,29.0,341257886,"(19.0, 29.0)",SocializeTwicePerWeek
19.0,2008-12-19 04:46:11,0,22.0,3839293194,"(19.0, 22.0)",CloseFriend
19.0,2008-12-19 04:39:34,0,22.0,3839293194,"(19.0, 22.0)",CloseFriend
19.0,2009-01-09 01:02:31,29,22.0,3839293194,"(19.0, 22.0)",CloseFriend
19.0,2009-01-09 01:04:36,87,22.0,3839293194,"(19.0, 22.0)",CloseFriend
19.0,2009-01-17 18:47:24,34,15.0,1169558929,"(19.0, 15.0)",
19.0,2009-01-17 18:45:38,90,15.0,1169558929,"(19.0, 15.0)",
19.0,2009-01-17 00:09:17,15,26.0,2705867375,"(19.0, 26.0)",CloseFriend
19.0,2009-01-18 17:41:47,0,65.0,1569256956,"(19.0, 65.0)",CloseFriend
19.0,2009-01-21 17:02:00,22,44.0,2314686049,"(19.0, 44.0)",SocializeTwicePerWeek
19.0,2009-01-21 17:00:18,31,44.0,2314686049,"(19.0, 44.0)",SocializeTwicePerWeek
19.0,2009-01-21 16:15:34,1,44.0,2314686049,"(19.0, 44.0)",SocializeTwicePerWeek
