user.id,time,incoming,dest.user.id,dest.phone.hash,id_tuple,relationship
61,2008-01-01 15:00:25,0,1.0,3502965008,"(61.0, 1.0)",CloseFriend
61,2008-01-01 15:00:25,0,61.0,3480933661,"(61.0, 61.0)",CloseFriend
61,2008-01-01 15:00:25,1,1.0,3502965008,"(61.0, 1.0)",CloseFriend
61,2008-01-01 15:00:25,1,61.0,3480933661,"(61.0, 61.0)",CloseFriend
37,2008-01-02 23:18:10,1,37.0,310381472,"(37.0, 37.0)",SocializeTwicePerWeek
37,2008-01-04 14:55:44,0,37.0,310381472,"(37.0, 37.0)",SocializeTwicePerWeek
61,2008-01-06 12:01:36,0,1.0,3502965008,"(61.0, 1.0)",CloseFriend
37,2008-01-27 12:26:24,0,37.0,310381472,"(37.0, 37.0)",SocializeTwicePerWeek
37,2008-01-27 12:26:24,1,37.0,310381472,"(37.0, 37.0)",SocializeTwicePerWeek
61,2008-01-27 16:49:37,1,61.0,3480933661,"(61.0, 61.0)",CloseFriend
37,2008-01-30 18:37:17,1,37.0,310381472,"(37.0, 37.0)",SocializeTwicePerWeek
37,2008-01-30 19:01:24,0,37.0,310381472,"(37.0, 37.0)",SocializeTwicePerWeek
37,2008-02-17 18:02:46,1,37.0,310381472,"(37.0, 37.0)",SocializeTwicePerWeek
61,2008-03-31 19:49:18,1,1.0,3502965008,"(61.0, 1.0)",CloseFriend
1,2008-04-26 18:35:34,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend
1,2008-04-26 19:35:34,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend
1,2008-04-26 20:35:34,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend
1,2008-06-20 09:30:44,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend
1,2008-06-20 10:30:44,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend
1,2008-06-20 11:30:44,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend
1,2008-07-08 03:52:20,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend
1,2008-07-08 04:52:20,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend
1,2008-07-08 05:52:20,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend
58,2008-07-11 19:08:23,1,24.0,1873398567,"(58.0, 24.0)",CloseFriend
58,2008-07-11 19:08:27,1,24.0,1873398567,"(58.0, 24.0)",CloseFriend
58,2008-07-11 23:43:26,1,24.0,1873398567,"(58.0, 24.0)",CloseFriend
58,2008-07-16 09:46:56,1,24.0,1873398567,"(58.0, 24.0)",CloseFriend
58,2008-07-16 22:25:33,1,24.0,1873398567,"(58.0, 24.0)",CloseFriend
58,2008-07-19 16:00:10,1,24.0,1873398567,"(58.0, 24.0)",CloseFriend
58,2008-07-25 22:06:15,1,24.0,1873398567,"(58.0, 24.0)",CloseFriend
1,2008-07-27 06:53:44,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend
1,2008-07-27 07:11:36,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend
1,2008-07-27 07:53:44,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend
1,2008-07-27 08:11:36,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend
1,2008-07-27 08:53:44,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend
1,2008-07-27 09:11:36,1,61.0,3480933661,"(1.0, 61.0)",CloseFriend
44,2008-09-26 15:24:26,1,44.0,2314686049,"(44.0, 44.0)",CloseFriend
44,2008-09-26 18:08:12,1,44.0,2314686049,"(44.0, 44.0)",CloseFriend
44,2008-09-26 18:24:26,1,44.0,2314686049,"(44.0, 44.0)",CloseFriend
44,2008-09-26 19:24:26,1,44.0,2314686049,"(44.0, 44.0)",CloseFriend
44,2008-09-26 19:24:26,1,44.0,2314686049,"(44.0, 44.0)",CloseFriend
44,2008-09-26 21:08:12,1,44.0,2314686049,"(44.0, 44.0)",CloseFriend
44,2008-09-26 22:08:12,1,44.0,2314686049,"(44.0, 44.0)",CloseFriend
44,2008-09-26 22:08:12,1,44.0,2314686049,"(44.0, 44.0)",CloseFriend
31,2008-09-27 13:53:53,0,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 13:53:53,0,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 13:53:53,0,16.0,2330000391,"(31.0, 16.0)",CloseFriend
16,2008-09-27 14:53:52,1,31.0,478048602,"(16.0, 31.0)",CloseFriend
31,2008-09-27 14:53:53,0,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 14:53:53,0,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 14:53:53,0,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 14:53:53,0,16.0,2330000391,"(31.0, 16.0)",CloseFriend
16,2008-09-27 15:53:52,1,31.0,478048602,"(16.0, 31.0)",CloseFriend
31,2008-09-27 15:53:53,0,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 15:53:53,0,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 15:53:53,0,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 15:53:53,0,16.0,2330000391,"(31.0, 16.0)",CloseFriend
44,2008-09-27 17:27:38,0,46.0,882414187,"(44.0, 46.0)",CloseFriend
31,2008-09-27 17:56:22,1,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 17:56:22,1,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 17:56:22,1,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 17:56:59,0,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 17:56:59,0,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 17:56:59,0,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 17:58:15,1,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 17:58:15,1,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 17:58:15,1,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 18:56:22,1,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 18:56:22,1,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 18:56:22,1,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 18:56:22,1,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 18:56:59,0,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 18:56:59,0,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 18:56:59,0,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 18:56:59,0,16.0,2330000391,"(31.0, 16.0)",CloseFriend
16,2008-09-27 18:57:21,1,31.0,478048602,"(16.0, 31.0)",CloseFriend
31,2008-09-27 18:58:15,1,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 18:58:15,1,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 18:58:15,1,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 18:58:15,1,16.0,2330000391,"(31.0, 16.0)",CloseFriend
57,2008-09-27 19:17:54,0,2.0,38905838,"(57.0, 2.0)",CloseFriend
57,2008-09-27 19:17:54,0,2.0,38905838,"(57.0, 2.0)",CloseFriend
57,2008-09-27 19:17:54,0,2.0,38905838,"(57.0, 2.0)",CloseFriend
31,2008-09-27 19:56:22,1,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 19:56:22,1,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 19:56:22,1,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 19:56:22,1,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 19:56:59,0,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 19:56:59,0,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 19:56:59,0,16.0,2330000391,"(31.0, 16.0)",CloseFriend
31,2008-09-27 19:56:59,0,16.0,2330000391,"(31.0, 16.0)",CloseFriend
